id,brand,category,subcategory,subsubcategory,color,gender,herhaalaankopen,name,price.selling_price,recommendable
23978,8x4,Gezond & verzorging,Lichaamsverzorging,Deodorant,,Man,True,8x4 Men Deodorant Spray Beast 150ml,179,True
7225,8x4,Gezond & verzorging,Lichaamsverzorging,Deodorant,,Vrouw,True,8x4 Deodorant Spray Heavenly 150ml,179,False
29438,1Auto,Wonen & vrije tijd,Outdoor en vrije tijd,Outdoor en vrije tijd,,Unisex,True,1Auto Ruitensproeiervloeistof Zomer 4L,179,False
8570,8x4,Gezond & verzorging,Lichaamsverzorging,Deodorant,,Vrouw,True,8x4 Deodorant Spray Unity 150 ml,179,False
9196,8x4,Gezond & verzorging,Lichaamsverzorging,Deodorant,,Man,True,8x4 for Men Deodorant Spray Urban Spirit 150 ml,179,True
22309,Agfa,Elektronica & media,Elektronica & media,Batterijen,,Unisex,True,Agfaphoto Alkaline Power Batterijen AA 4 st,129,False
8533,8x4,Gezond & verzorging,Lichaamsverzorging,Deodorant,,Man,True,8x4 Men Deodorant Spray Discovery 150 ml,179,True
2036,8x4,Gezond & verzorging,Lichaamsverzorging,Deodorant,,Vrouw,True,8x4 Deodorant Spray Soft Kiss 150 ml,179,True
29100,Airwick,Huishouden,Toilet en keuken,Toiletblokken,,Gezin,True,Airwick Freshmatic Zijde en Lelie Navul. 250 ml,299,False
16121,Airwick,Huishouden,Toilet en keuken,Toiletblokken,,B2B,True,AirWick Freshmatic Jasmijn & Witte Bloemen Navul. 250 ml,299,True
31625,Airwick,Huishouden,Toilet en keuken,Luchtverfrissers,,B2B,True,Airwick DoubleFresh Elektrische Luchtverfrisser Vanille 2x 19 ml,499,False
16118,Airwick,Huishouden,Toilet en keuken,Toiletblokken,,Gezin,True,Airwick Freshmatic Magnolia&Kersenbloem Navul. 250ml,299,False
8532,8x4,Gezond & verzorging,Lichaamsverzorging,Deodorant,,Vrouw,True,8x4 Deodorant Spray Modern Charme 150 ml,179,True
29099,Airwick,Huishouden,Toilet en keuken,Toiletblokken,,Gezin,True,Airwick Freshmatic Navulling Katoen 250 ml,299,False
32476,Airwick,Wonen & vrije tijd,Woonaccessoires,Kaarsen,,Unisex,True,Airwick Essential Oils Berries & Spice Geurkaars 105 gr,229,False
32474,Airwick,Wonen & vrije tijd,Woonaccessoires,Kaarsen,,Unisex,True,Airwick Essential Oils Infusion Geurkaars Apple & Cinnamon,249,False
32520,Agfa,Elektronica & media,Elektronica & media,Batterijen,,Unisex,True,Agfaphoto Alkaline Power Batterijen AAA 4 st,129,False
32482,Airwick,Wonen & vrije tijd,Woonaccessoires,Kaarsen,,Unisex,True,Airwick Essential Oils Vanilla & Brown Sugar Geurkaars 105 gr,229,False
17043,Airwick,Huishouden,Toilet en keuken,Toiletblokken,,Gezin,True,Airwick Freshmatic Lavendel Navul. 250ml,299,False
32480,Airwick,Wonen & vrije tijd,Woonaccessoires,Kaarsen,,Unisex,True,Airwick Essential Oils Infusion Geurkaars Apple & Cinnamon,229,False
29244,Airwick,Wonen & vrije tijd,Woonaccessoires,Kaarsen,,Unisex,True,Airwick Eternal Scents Vanille Geurkaars 1 st,399,False
